SPIRIT1_a_W70,SPIRIT1_b_W70,SPIRIT1_c_W70,SPIRIT1_d_W70,SPIRIT2_a_W70,SPIRIT2_b_W70,SPIRIT2_c_W70,SPIRIT2_d_W70
Daily,Never,Daily,Daily,Daily,Daily,Weekly,Daily
Never,Never,Daily,Daily,Daily,Never,Monthly,Daily
Never,Never,Daily,Daily,Daily,Monthly,Daily,Daily
Never,Never,Daily,Daily,Weekly,Never,Weekly,Daily
Never,Never,Daily,Daily,Less than monthly,Never,Daily,Daily
Never,Never,Daily,Daily,Weekly,Never,Less than monthly,Daily
Never,Never,Daily,Weekly,Daily,Weekly,Monthly,Weekly
Daily,Never,Daily,Daily,Daily,Weekly,Monthly,Daily
Daily,Never,Daily,Never,Daily,Daily,Weekly,Never
Less than monthly,Never,Daily,Monthly,Less than monthly,Never,Weekly,Daily
Never,Never,Daily,Daily,Less than monthly,Never,Weekly,Daily
Weekly,Never,Daily,Daily,Never,Never,Weekly,Daily
Never,Never,Daily,Daily,Never,Never,Daily,Daily
Never,Never,Less than monthly,Never,Daily,Less than monthly,Daily,Daily
Never,Daily,Daily,Daily,Daily,Daily,Monthly,Daily
Daily,Never,Daily,Daily,Daily,Daily,Weekly,Daily
Never,Never,Daily,Weekly,Weekly,Monthly,Daily,Daily
Less than monthly,Never,Daily,Monthly,Less than monthly,Never,Weekly,Daily
Monthly,Never,Daily,Weekly,Weekly,Never,Less than monthly,Daily
Weekly,Never,Daily,Weekly,Less than monthly,Never,Weekly,Daily
Never,Never,Monthly,Never,Never,Never,Weekly,Daily
Less than monthly,Never,Weekly,Daily,Daily,Never,Daily,Daily
Daily,Never,Daily,Daily,Daily,Weekly,Weekly,Daily
Never,Never,Daily,Weekly,Daily,Weekly,Daily,Daily
Less than monthly,Never,Less than monthly,Weekly,Never,Daily,Daily,Daily
Never,Never,Daily,Less than monthly,Daily,Less than monthly,Daily,Daily
Never,Never,Never,Never,Never,Never,Never,Never
Never,Never,Daily,Daily,Daily,Daily,Weekly,Daily
Never,Never,Daily,Weekly,Daily,Weekly,Weekly,Daily
